变量,2007H1,2007H2,2008H1,2008H2,2009H1,2009H2,2010H1,2010H2,2011H1,2011H2,2012H1,2012H2,2013H1,2013H2,2014H1,2014H2,2015H1,2015H2,2016H1,2016H2,2017H1,2017H2,2018H1,2018H2,最大最小差
num_tl_120dpd_2m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266,0.0,0.0036,0.0525,0.0296,0.0354,0.0613,0.0493,0.0401,0.0445,0.046,0.0241,0.0223,1.0
num_tl_30dpd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
num_il_tl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
num_bc_tl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
num_actv_bc_tl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
num_accts_ever_120_pd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
num_bc_sats,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8658,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mo_sin_rcnt_rev_tl_op,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all_util,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.908,0.0003,0.0001,0.0001,0.0003,0.0003,0.0003,0.9999
mths_since_recent_bc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4094,0.0095,0.0057,0.0078,0.0087,0.0109,0.0097,0.0096,0.0096,0.0124,0.0109,0.015,0.0132,0.013,0.9943
percent_bc_gt_75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4102,0.0109,0.0067,0.0089,0.0105,0.0122,0.0107,0.011,0.0104,0.0132,0.0114,0.016,0.0141,0.0138,0.9933
bc_open_to_buy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4102,0.0109,0.0067,0.0088,0.0095,0.0118,0.0102,0.0099,0.0102,0.0131,0.0114,0.016,0.0141,0.0138,0.9933
bc_util,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4106,0.0115,0.007,0.0093,0.0103,0.0126,0.0109,0.0105,0.0108,0.0136,0.0118,0.0164,0.0146,0.0143,0.993
mths_since_rcnt_il,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9109,0.0323,0.0301,0.0295,0.0374,0.0441,0.0415,0.9705
mo_sin_old_il_acct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3037,0.0459,0.0408,0.0373,0.0358,0.0367,0.0341,0.0321,0.0301,0.0295,0.0374,0.0441,0.0415,0.9705
mths_since_last_record,0.875,0.0363,0.4183,0.9286,0.9453,0.9562,0.9377,0.9479,0.946,0.9505,0.971,0.9734,0.8879,0.8644,0.7997,0.8194,0.8129,0.8136,0.8138,0.7971,0.8035,0.8487,0.8683,0.8786,0.9371
mths_since_recent_inq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4936,0.1244,0.1177,0.1085,0.0886,0.0998,0.1065,0.1133,0.1066,0.1111,0.1182,0.1226,0.1252,0.1261,0.9114
open_acc,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
acc_now_delinq,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
pub_rec,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
delinq_amnt,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
delinq_2yrs,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
inq_last_6mths,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
total_acc,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
earliest_cr_line,0.875,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
revol_util,0.875,0.019,0.0046,0.0057,0.005,0.0018,0.002,0.0022,0.0003,0.0006,0.0013,0.0007,0.0005,0.0006,0.0004,0.0005,0.0004,0.0005,0.0006,0.0008,0.0007,0.0014,0.0013,0.0012,0.8747
il_util,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9208,0.1451,0.136,0.1379,0.1553,0.1752,0.1678,0.864
mths_since_last_delinq,0.875,0.0311,0.2627,0.5828,0.6678,0.6706,0.6528,0.6358,0.6476,0.6753,0.6808,0.5441,0.591,0.5464,0.4955,0.4842,0.4791,0.4805,0.4754,0.4606,0.4814,0.5143,0.5535,0.5486,0.8439
mths_since_recent_revol_delinq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8572,0.6761,0.7173,0.6844,0.6388,0.6324,0.6326,0.6359,0.6369,0.6295,0.6448,0.6718,0.7054,0.7013,0.3705
mths_since_last_major_derog,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8444,0.8098,0.7848,0.7061,0.7086,0.7,0.6965,0.7112,0.7009,0.7185,0.7367,0.7629,0.7615,0.3035
mths_since_recent_bc_dlq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8074,0.7873,0.7678,0.7325,0.7307,0.7346,0.7412,0.7441,0.7386,0.7557,0.7739,0.7974,0.7954,0.2693
emp_length,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0339,0.0372,0.0409,0.0371,0.0412,0.0448,0.0532,0.0601,0.0587,0.0623,0.0705,0.0752,0.0699,0.0746,0.0828,0.0893,0.0927,0.0927
annual_inc,0.0417,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417
dti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0004,0.0014,0.002,0.0018,0.002
verification_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fico_range_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fico_range_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addr_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loan_amnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_ownership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revol_bal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
application_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
